companyFullName,companyShortName,companySize,financeStage,city,district,positionName,education,workYear,salary_min,salary_max,industryField,firstType,secondType,positionAdvantage,companyLabelList
北京无极慧通科技有限公司,无极慧通,50-150人,A轮,北京,海淀区,高级python开发工程师,本科,1-3,10k,15k,"医疗丨健康,数据服务",开发|测试|运维类,数据开发,"广阔的发展,创业公司,融洽的办公","['技能培训', '年底双薪', '岗位晋升', '领导好']"
武汉小果科技有限公司,森果,50-150人,天使轮,武汉,东湖新技术开发区,python后端,本科,1-3,9k,15k,"移动互联网,企业服务",开发|测试|运维类,后端开发,技术大牛，项目奖金，自主研发，提供mac,"['股票期权', '弹性工作', '节日礼物', '领导好']"
北京缔联科技有限公司,缔联科技,50-150人,B轮,北京,海淀区,Python Web开发工程师,本科,3-5,15k,25k,企业服务,开发|测试|运维类,后端开发,跟技术大牛一起遨游，下午茶零食,"['年底双薪', '节日礼物', '年度旅游', '岗位晋升']"
奇安信科技集团股份有限公司,奇安信集团,2000人以上,上市公司,北京,西城区,Python开发专家-北京(002386),本科,5-10,15k,30k,信息安全,开发|测试|运维类,后端开发,规模最大,"['年底双薪', '带薪年假', '午餐补助', '定期体检']"
上海哔哩哔哩科技有限公司,哔哩哔哩,2000人以上,上市公司,上海,杨浦区,视频云开发工程师（点播开发Python方向）,本科,3-5,20k,40k,"移动互联网,文娱丨内容",开发|测试|运维类,后端开发,平台大、成长快、福利好,"['带薪年假', '绩效奖金', '交通补助', '午餐补助']"
北京缔联科技有限公司,缔联科技,50-150人,B轮,北京,海淀区,Python开发工程师（web端开发经验）,本科,3-5,15k,25k,企业服务,开发|测试|运维类,后端开发,财税领域，公司自有产品，下午茶零食,"['年底双薪', '节日礼物', '年度旅游', '岗位晋升']"
百度在线网络技术（北京）有限公司,百度,2000人以上,上市公司,北京,海淀区,智慧医疗_python/go/c++后端开发工程师,本科,应届毕业生,25k,50k,工具,开发|测试|运维类,后端开发,大厂/互联网,"['股票期权', '弹性工作', '五险一金', '免费班车']"
广州英荔教育科技有限公司,英荔教育,50-150人,不需要融资,广州,天河区,Python高级软件工程师,本科,1-3,9k,18k,"企业服务,教育",开发|测试|运维类,后端开发,双休 带薪假 年假 晋升大 气氛融洽,"['年底双薪', '午餐补助', '带薪年假', '五险一金']"
风变科技（深圳）有限公司,风变科技（深圳）有限公司,500-2000人,B轮,深圳,南山区,python课程助教,本科,1-3,6k,10k,"移动互联网,教育",运营|编辑|客服类,运营,发展前景好，工作氛围轻松，福利待遇丰厚,"['专项奖金', '带薪年假', '定期体检', '六险一金']"
风变科技（深圳）有限公司,风变科技（深圳）有限公司,500-2000人,B轮,深圳,南山区,python 培训讲师,本科,3-5,15k,25k,"移动互联网,教育",教育|培训,培训,发展前景好，工作氛围轻松，福利待遇丰厚,"['专项奖金', '带薪年假', '定期体检', '六险一金']"
三门峡崤云安全服务有限公司,崤云安全,50-150人,不需要融资,郑州,高新区,高级python开发工程师,大专,3-5,10k,14k,信息安全,开发|测试|运维类,后端开发,六险一金、提供食宿、年底双薪,"['国企', '五险一金', '扁平管理', '领导好']"
三门峡崤云安全服务有限公司,崤云安全,50-150人,不需要融资,西安,高新技术产业开发区,高级python开发工程师,大专,3-5,10k,14k,信息安全,开发|测试|运维类,后端开发,六险一金、提供食宿、年底双薪,"['国企', '五险一金', '扁平管理', '领导好']"
西安智园软件开发管理有限公司,Wisdom Garden,50-150人,A轮,西安,高新技术产业开发区,Python高级工程师,大专,5-10,15k,30k,教育,开发|测试|运维类,后端开发,弹性扁平 福利棒 大牛同你一起飞,"['敏捷开发', 'Mac高配', '六险一金', '扁平化管理']"
成都西山居互动娱乐科技有限公司珠海分公司,西山居游戏,2000人以上,不需要融资,珠海,香洲区,python游戏开发工程师,本科,1-3,12k,24k,游戏,开发|测试|运维类,后端开发,平台好、发展空间大、六险一金、海景办公,"['带薪年假', '年度旅游', '节日礼物', '大牛多多']"
圆通速递有限公司,圆通,2000人以上,上市公司,杭州,余杭区,python工程师兼运维,本科,1-3,6k,8k,物流丨运输,开发|测试|运维类,后端开发,双休，不加班,"['技能培训', '免费班车', '专项奖金', '岗位晋升']"
北京点石经纬科技有限公司,OKAY智慧教育,500-2000人,B轮,北京,海淀区,c++/python/golang工程师,本科,5-10,20k,40k,"移动互联网,教育",开发|测试|运维类,后端开发,发展有前景,"['五险一金', '带薪年假', '节日礼物', '午餐补助']"
迪原创新（北京）科技有限公司南京分公司,Dilato,150-500人,未融资,北京,海淀区,Python测试开发工程师（偏开发）,本科,3-5,10k,20k,"移动互联网,企业服务",开发|测试|运维类,测试,上市外企平台；技术导向；,"['节日礼物', '带薪年假', '绩效奖金', '年度旅游']"
深圳华秋电子有限公司,深圳华秋电子有限公司,500-2000人,B轮,深圳,福田区,Python高级开发/爬虫工程师,本科,3-5,15k,18k,"移动互联网,电商",开发|测试|运维类,后端开发,"公司背景好,福利好,实力雄厚,调薪机会","['节日礼物', '年底双薪', '带薪年假', '美女多']"
上海倾听信息技术有限公司,蜻蜓FM,150-500人,D轮及以上,北京,朝阳区,Python 后端开发（北京）,本科,1-3,20k,40k,移动互联网,开发|测试|运维类,后端开发,发展前景优，工作氛围轻松,"['明星直播', '男女1:1', '带薪年假', '扁平管理']"
北京搜狐新媒体信息技术有限公司,搜狐集团,2000人以上,上市公司,北京,海淀区,Python后端开发工程师 (MJ006889),本科,1-3,15k,25k,"移动互联网,广告营销",开发|测试|运维类,后端开发,集团基础架构中心，团队氛围好，稳定性高,"['节日礼物', '项目奖金', '弹性工作时间', '15天年假']"
上海赛舵智能科技有限公司,赛舵智能,15-50人,A轮,上海,闵行区,后端工程师（Python/Golang）,本科,3-5,20k,40k,企业服务,开发|测试|运维类,后端开发,创业公司 从0-1 充分授权 博取未来,[]
北京区块节点科技有限公司,区块节点,50-150人,不需要融资,北京,朝阳区,python开发工程师（深度学习）,本科,3-5,15k,25k,移动互联网,开发|测试|运维类,人工智能,上市企业 发展空间大 扁平化管理,[]
南京摄星智能科技有限公司,摄星科技,15-50人,A轮,北京,丰台区,中高级python开发工程师,大专,3-5,16k,28k,"移动互联网,人工智能",开发|测试|运维类,后端开发,平台大 有发展 团队技术强,[]
广州市广农数链信息科技有限公司,广农数链,50-150人,未融资,广州,黄埔区,python高级开发工程师,大专,应届毕业生,16k,32k,电商,开发|测试|运维类,后端开发,双休，7小时/天，有股权、法定放假,[]
上海微创软件股份有限公司,微创软件,2000人以上,不需要融资,深圳,南山区,python后台开发工程师,本科,1-3,13k,15k,"企业服务,移动互联网",开发|测试|运维类,后端开发,免费班车，免费早餐，夜宵卷，加班费，绩效考核,"['绩效奖金', '带薪年假', '定期体检', '弹性工作']"
杭州艾耕科技有限公司,艾耕科技,150-500人,A轮,杭州,西湖区,python后端开发（P6-P7）,本科,3-5,25k,45k,"移动互联网,数据服务",开发|测试|运维类,后端开发,AI未来 技术大牛,"['股票期权', '扁平管理', '发展前景好', '工程师文化']"
杭州艾耕科技有限公司,艾耕科技,150-500人,A轮,杭州,西湖区,Python后端研发工程师,本科,3-5,15k,30k,"移动互联网,数据服务",开发|测试|运维类,后端开发,AI未来 技术大牛,"['股票期权', '扁平管理', '发展前景好', '工程师文化']"
上海触乐信息科技有限公司,触宝,500-2000人,上市公司,上海,闵行区,广告平台开发工程师（Python/Go）,本科,1-3,15k,30k,"移动互联网,数据服务",开发|测试|运维类,后端开发,美股上市 牛人团队 亿级日活 福利待遇佳,"['美股上市', '行业独角兽', '年底双薪', '绩效奖金']"
上海触乐信息科技有限公司,触宝,500-2000人,上市公司,上海,闵行区,高级后端开发工程师（Python/Java）,本科,3-5,20k,35k,"移动互联网,数据服务",开发|测试|运维类,后端开发,美股上市 超长年假 大牛云集 核心团队,"['美股上市', '行业独角兽', '年底双薪', '绩效奖金']"
上海品览数据科技有限公司,品览Pinlan,50-150人,A轮,上海,浦东新区,Python后端开发,本科,1-3,13k,18k,"数据服务,人工智能",开发|测试|运维类,后端开发,"精英团队,AI+,发展前景,曝光度","['股票期权', '定期体检', '交通补助', '午餐补助']"
深圳市比一比网络科技有限公司,深圳市比一比网络科技有限公司,50-150人,B轮,深圳,南山区,python高级开发工程师,本科,3-5,15k,25k,"电商,数据服务",开发|测试|运维类,后端开发,五险一金 双休 节日福利,"['技能培训', '股票期权', '带薪年假', '岗位晋升']"
北京新意互动数字技术有限公司,新意互动,500-2000人,上市公司,北京,海淀区,中高级Python开发工程师,本科,应届毕业生,15k,25k,广告营销,开发|测试|运维类,后端开发,氛围好 技术 专业,"['年终分红', '绩效奖金', '五险一金', '交通补助']"
北京音悦荚科技有限责任公司,音悦荚,50-150人,A轮,北京,昌平区,Python技术经理,大专,3-5,30k,50k,"移动互联网,教育",开发|测试|运维类,后端开发,"玩音乐,期权,弹性工作,晋升空间大","['年底双薪', '绩效奖金', '带薪年假', '全额五险一金']"
北京旷视科技有限公司,旷视MEGVII,500-2000人,D轮及以上,北京,海淀区,Python 数据算法工程师,本科,3-5,20k,40k,人工智能,开发|测试|运维类,后端开发,牛人团队 上升空间,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']"
深圳市一面网络技术有限公司,一面数据,50-150人,不需要融资,深圳,南山区,Python 工程师（产品研发）,本科,1-3,10k,20k,"移动互联网,数据服务",开发|测试|运维类,后端开发,大数据人工智能；名校系大牛；技术氛围浓,"['海归精英团队', '年度旅游', '定期体检', '年终分红']"
力扣信息科技（上海）有限公司,LeetCode 领扣网络,50-150人,未融资,上海,普陀区,Python 后端开发工程师,本科,1-3,18k,25k,移动互联网,开发|测试|运维类,后端开发,不加班 餐补 带薪假 定期体检 零食下午茶,"['年底双薪', '绩效奖金', '午餐补助', '扁平管理']"
北京猿力未来科技有限公司,猿辅导,2000人以上,D轮及以上,北京,朝阳区,Python爬虫实习生,本科,在校/应届,6k,8k,"移动互联网,教育",开发|测试|运维类,后端开发,五一7天假、7000元旅游津贴、大牛团队,"['股票期权', '年底双薪', '五险一金', '带薪年假']"
中科弘云科技（北京）有限公司,中科弘云,15-50人,天使轮,南京,鼓楼区,Python后端开发高级工程师,本科,3-5,12k,18k,"数据服务,其他",开发|测试|运维类,后端开发,股权激励，13薪,"['股票期权', '绩效奖金', '年度旅游', '五险一金']"
我查查信息技术（上海）有限公司,我查查,150-500人,不需要融资,上海,浦东新区,python爬虫工程师,本科,3-5,15k,25k,移动互联网,开发|测试|运维类,后端开发,年轻 创新 氛围好,"['技能培训', '年底双薪', '绩效奖金', '岗位晋升']"
北京码上赢网络科技有限公司,码上赢,50-150人,A轮,北京,朝阳区,Python数据开发工程师,本科,3-5,15k,25k,"移动互联网,企业服务",开发|测试|运维类,后端开发,阿里大牛、零售大数据,"['弹性工作', '五险一金', '阿里系', '牛人多']"
北京金堤科技有限公司,天眼查,500-2000人,不需要融资,北京,海淀区,【校招】Python工程师-平台业务,本科,在校/应届,15k,25k,数据服务,开发|测试|运维类,后端开发,职业发展,"['专项奖金', '股票期权', '带薪年假', '定期体检']"
广州爱范儿科技股份有限公司,爱范儿,50-150人,不需要融资,广州,海珠区,高级 python 开发工程师,本科,3-5,12k,20k,"移动互联网,企业服务",开发|测试|运维类,后端开发,福利齐全、发展空间大、领导好,"['绩效奖金', '五险一金', '弹性工作', '岗位晋升']"
中诚信国际信用评级有限责任公司,中诚信,500-2000人,未融资,北京,东城区,软件开发工程师（Python/Django）,本科,1-3,15k,25k,其他,开发|测试|运维类,后端开发,五险一金、交通补贴、餐补、电话补贴、补充医疗,[]
武汉哥本巷科技有限公司,哥本巷,15-50人,未融资,武汉,洪山区,python中级开发工程师,本科,3-5,10k,20k,"移动互联网,数据服务",开发|测试|运维类,后端开发,五险一金，餐补，带薪年假，双休,"['绩效奖金', '午餐补助', '带薪年假', '节日礼物']"
广州聚焦网络技术有限公司,聚焦网络集团,150-500人,未融资,广州,越秀区,python爬虫工程师,本科,1-3,10k,20k,"移动互联网,电商",开发|测试|运维类,后端开发,周末双休，五险一金，带薪休假，年终表彰,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']"
南京贝湾信息科技有限公司,扇贝,150-500人,B轮,南京,玄武区,Python答疑老师实习生（可远程实习）,本科,在校/应届,4k,6k,"移动互联网,教育",开发|测试|运维类,后端开发,"团队棒,个人成长快","['节日礼物', '带薪年假', '扁平管理', '定期体检']"
上海谷露软件有限公司,谷露软件,50-150人,A轮,上海,黄浦区,python开发工程师G00345,本科,1-3,20k,40k,"数据服务,企业服务",开发|测试|运维类,后端开发,极客团队，大牛多，技术氛围好,"['团队融洽', '股票期权', '扁平管理', '通讯津贴']"
杭州菱歌数字科技有限公司,菱歌科技,15-50人,A轮,北京,朝阳区,python爬虫工程师,大专,应届毕业生,10k,15k,"企业服务,广告营销",开发|测试|运维类,数据开发,"前沿技术,弹性时间,欢乐氛围,职业发展","['博士多', '带薪年假', '绩效奖金', '管理规范']"
杭州菱歌数字科技有限公司,菱歌科技,15-50人,A轮,北京,朝阳区,初级大数据工程师（python）,大专,1-3,10k,12k,"企业服务,广告营销",开发|测试|运维类,数据开发,"前沿技术,弹性时间,欢乐氛围,职业发展","['博士多', '带薪年假', '绩效奖金', '管理规范']"
杭州映云科技有限公司,映云科技,50-150人,A轮,昆明,五华区,Python 开发实习,本科,在校/应届,4k,5k,"企业服务,物联网",开发|测试|运维类,后端开发,"期权,奖金,各类补贴,节日福利","['开源软件', '全球运营', '股票期权', '带薪年假']"
北京聚道科技有限公司,GeneDock,15-50人,B轮,北京,海淀区,后端开发工程师（python),本科,1-3,15k,30k,"医疗丨健康,数据服务",开发|测试|运维类,后端开发,精准医疗独角兽企业,"['股票期权', '带薪年假', '扁平管理', '定期体检']"
墨智科技（深圳）有限公司,墨智科技,15-50人,A轮,上海,徐汇区,风控策略分析师-SH（python）,大专,1-3,10k,20k,"移动互联网,数据服务",金融类,互联网金融,"硅谷团队,团队氛围佳,发展空间大","['弹性工作', '扁平管理', '五险一金', '带薪年假']"
上海一起作业信息科技有限公司,一起教育科技,2000人以上,D轮及以上,北京,朝阳区,Python开发工程师-风控（技术平台）,本科,3-5,15k,30k,"移动互联网,教育",开发|测试|运维类,后端开发,企业福利 平台 发展空间 团队氛围,"['节日礼物', '岗位晋升', '扁平管理', '领导好']"
上海一起作业信息科技有限公司,一起教育科技,2000人以上,D轮及以上,北京,朝阳区,Python高级工程师（技术平台）,本科,5-10,25k,50k,"移动互联网,教育",开发|测试|运维类,后端开发,轻松的氛围 六险一金 福利年假 绩效奖金,"['节日礼物', '岗位晋升', '扁平管理', '领导好']"
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,深圳,南山区,HY2-python后台开发工程师（深圳）,本科,3-5,18k,30k,社交,开发|测试|运维类,后端开发,"五险一金,绩效奖金,带薪休假","['免费班车', '成长空间', '年度旅游', '岗位晋升']"
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,深圳,南山区,监控系统开发工程师-Python&amp;Go,本科,3-5,16k,30k,社交,开发|测试|运维类,后端开发,发展前景,"['免费班车', '成长空间', '年度旅游', '岗位晋升']"
Foris Limited,Crypto.com,150-500人,B轮,深圳,南山区,python开发工程师（量化开发）,本科,3-5,25k,50k,"移动互联网,电商",开发|测试|运维类,后端开发,20天有薪年假，具有竞争力的薪资，1075，双休,"['20天年假', '外企氛围', '大牛云集', '弹性工作']"
梅卡曼德（北京）机器人科技有限公司,梅卡曼德,150-500人,B轮,北京,海淀区,软件工程师(Python),本科,1-3,20k,35k,"企业服务,硬件",开发|测试|运维类,后端开发,人工智能，知名风投，五险一金,"['股票期权', '午餐补助', '扁平管理', '技能培训']"
北京国研网信息股份有限公司,国研网,150-500人,上市公司,成都,武侯区,中级python爬虫工程师,本科,3-5,10k,15k,"企业服务,数据服务",开发|测试|运维类,数据开发,央企 发展前景 超长假期 工会 餐补 全勤奖,"['专项奖金', '年终分红', '定期体检', '弹性工作']"
河北猿尊软件有限公司,猿尊软件,15-50人,未融资,石家庄,裕华区,Python 后端开发工程师,大专,应届毕业生,8k,15k,电商、软件开发,开发|测试|运维类,后端开发,大神带队，成长空间大,[]
高德软件有限公司,阿里巴巴-高德,2000人以上,上市公司,北京,朝阳区,高德-高级开发工程师/专家-Python/Go,本科,3-5,25k,50k,工具,开发|测试|运维类,后端开发,大平台，16薪,"['弹性工作', '帅哥多', '美女多', '五险一金']"
上海纳纳科技有限公司,纳纳科技,50-150人,不需要融资,上海,虹口区,Python后端开发,本科,3-5,15k,25k,"企业服务,数据服务",开发|测试|运维类,后端开发,平台好 业务稳 氛围好 福利多,"['年底双薪', '专项奖金', '交通补助', '定期体检']"
上海脉策数据科技有限公司,脉策科技,150-500人,B轮,上海,杨浦区,Python开发工程师实习生,本科,在校/应届,3k,6k,"数据服务,企业服务",开发|测试|运维类,后端开发,"弹性工作,薪酬福利好,技术驱动,大牛互助","['股票期权', '定期体检', '弹性工作', '扁平管理']"
爱笔（北京）智能科技有限公司,Aibee,150-500人,A轮,北京,海淀区,python开发工程师-机器人,本科,3-5,15k,30k,"移动互联网,企业服务",开发|测试|运维类,后端开发,人工智能 创业氛围,"['国际化团队', '计算机视觉', '语音识别', '自然语言理解']"
杭州图尔兹信息技术有限公司,图尔兹,15-50人,天使轮,杭州,拱墅区,Python自动化测试,本科,在校/应届,13k,26k,"企业服务,数据服务",开发|测试|运维类,测试,大佬带队，工程师文化团队，广阔发展前景,"['股票期权', '绩效奖金', '年终分红']"
上海道客网络科技有限公司,DAOCLOUD,150-500人,C轮,上海,杨浦区,Python开发实习生,本科,在校/应届,4k,6k,"企业服务,数据服务",开发|测试|运维类,后端开发,全勤奖金,"['工程师文化', '业界大牛', '改变世界', '豪华团队']"
北京创源微致软件有限公司,创源微致,50-150人,不需要融资,苏州,吴江区,Python开发主管,本科,5-10,25k,30k,移动互联网,开发|测试|运维类,后端开发,发展平台,"['带薪年假', '岗位晋升', '扁平管理', '领导好']"
观澜网络（杭州）有限公司,丁香园,500-2000人,D轮及以上,杭州,滨江区,高级Python爬虫工程师（Insight）,本科,3-5,15k,30k,"医疗丨健康,企业服务",开发|测试|运维类,后端开发,互联网医疗,"['扁平管理', '弹性工作', '期权']"
苏州斑马之家智能科技有限公司,斑马之家,15-50人,不需要融资,苏州,张家港市,python后端开发工程师,本科,3-5,10k,20k,"硬件,人工智能",开发|测试|运维类,后端开发,五险一金，股权激励，老板好，氛围轻松,"['股票期权', '绩效奖金', '带薪年假', '定期体检']"
食亨（上海）科技服务有限公司,食亨,500-2000人,B轮,上海,虹口区,Python开发工程师 (MJ000957),本科,3-5,15k,25k,"消费生活,移动互联网",开发|测试|运维类,后端开发,技术氛围 绩效奖金 小独角兽公司,"['绩效奖金', '专项奖金', '节日礼物', '领导好']"
郑州创恒实业有限公司,郑州创恒实业有限公司,150-500人,未融资,郑州,金水区,高级Python开发工程师,本科,1-3,7k,10k,移动互联网,开发|测试|运维类,后端开发,高级,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']"
重庆英科铸数网络科技有限公司,重庆英科铸数网络科技有限公司,少于15人,未融资,重庆,渝北区,python后端开发工程师,本科,应届毕业生,10k,15k,"数据服务,人工智能",开发|测试|运维类,后端开发,公司发展好；leader优秀；五险一金；弹性工作,"['弹性工作', '扁平管理', '领导好']"
武汉极意网络科技有限公司,极验,50-150人,B轮,武汉,东湖新技术开发区,Python（极验验证）,大专,3-5,9k,18k,"信息安全,数据服务",开发|测试|运维类,后端开发,双休+弹性工作制+五险一金+餐补,"['股票期权', '绩效奖金', '交通补助', '带薪年假']"
深圳市理奥网络技术有限公司,LEOMASTER,15-50人,A轮,深圳,宝安区,python研发工程师（架构方向）,本科,3-5,18k,30k,移动互联网,开发|测试|运维类,后端开发,项目前景好，薪资福利佳,"['五险一金', '弹性工作', '绩效奖金', '带薪年假']"
上海淘利资产管理有限公司,淘利资产管理,50-150人,未融资,上海,浦东新区,Python开发实习生,本科,在校/应届,3k,4k,"金融,软件开发",开发|测试|运维类,后端开发,清华硕士带领的成熟团队 实习后留用 可落户,[]
上海担路网络科技有限公司,担路网,15-50人,未融资,上海,松江区,Python Web工程师,本科,应届毕业生,8k,15k,"移动互联网,企业服务",开发|测试|运维类,后端开发,"年轻团队,年终分红,晋升空间大,待遇从优","['年终分红', '交通补助', '定期体检', '绩效奖金']"
上海海钻网络科技有限公司,海钻网络,15-50人,天使轮,上海,虹口区,Python后端工程师,本科,3-5,20k,35k,金融,开发|测试|运维类,后端开发,0.5-3个月年度绩效奖金,[]
千寻位置网络有限公司,千寻位置,500-2000人,A轮,上海,杨浦区,Python开发工程师/架构师,本科,5-10,25k,50k,移动互联网,开发|测试|运维类,后端开发,阿里+中兵合资 补充商保 餐补,"['节日礼物', '股票期权', '带薪年假', '绩效奖金']"
北京莱柏沃亚科技有限公司,莱柏沃亚,50-150人,不需要融资,北京,朝阳区,自动化测试工程师（会Python）,本科,5-10,25k,35k,"人工智能,软件开发",开发|测试|运维类,测试,发展空间大,[]
北京逍遥志科技有限公司,逍遥志科技,15-50人,A轮,北京,朝阳区,Python研发工程师,本科,3-5,25k,50k,"移动互联网,金融",开发|测试|运维类,后端开发,牛人多，氛围好，发展快,"['定期体检', '股票期权', '弹性工作', '领导好']"
达内时代科技集团有限公司,达内集团,2000人以上,上市公司,北京,大兴区,python助理讲师,本科,应届毕业生,8k,12k,"移动互联网,教育",教育|培训,教师,"上市公司,股权激励,良好的成长,发展空间","['技能培训', '股票期权', '专项奖金', '带薪年假']"
广东快乐种子科技有限公司,快乐种子,2000人以上,B轮,上海,徐汇区,python运维开发工程师,大专,3-5,12k,22k,"教育,游戏",开发|测试|运维类,运维,发展前景好,"['专项奖金', '股票期权', '绩效奖金', '带薪年假']"
达内时代科技集团有限公司,达内集团,2000人以上,上市公司,北京,海淀区,python人工智能讲师,本科,3-5,20k,30k,"移动互联网,教育",教育|培训,培训,上市公司 六险一金 周末双休 绩效奖金,"['技能培训', '股票期权', '专项奖金', '带薪年假']"
成都腾云忆想科技有限公司,腾云忆想,500-2000人,未融资,深圳,南山区,Python/GO 开发工程师,本科,3-5,13k,26k,移动互联网,开发|测试|运维类,后端开发,云计算方向，加班强度底，双休，工作环境Nice,[]
上海倾听信息技术有限公司,蜻蜓FM,150-500人,D轮及以上,北京,朝阳区,Python开发实习生,大专,在校/应届,3k,4k,移动互联网,开发|测试|运维类,后端开发,年轻化团队 周末双休,"['明星直播', '男女1:1', '带薪年假', '扁平管理']"
上海中软华腾软件系统有限公司,上海中软华腾软件系统有限公司,2000人以上,上市公司,西安,高新技术产业开发区,python后端开发工程师,本科,3-5,12k,22k,"企业服务,金融",开发|测试|运维类,后端开发,薪资美丽，项目前景ok,"['绩效奖金', '带薪年假', '定期体检', '管理规范']"
北京一零跃动网络信息技术有限公司,一零跃动,150-500人,不需要融资,北京,朝阳区,Python实习生,本科,应届毕业生,4k,6k,"数据服务,软件开发",开发|测试|运维类,后端开发,技术大牛 不打卡 零食 漂亮小姐姐,"['年底双薪', '午餐补助', '定期体检', '弹性工作']"
北京一零跃动网络信息技术有限公司,一零跃动,150-500人,不需要融资,北京,朝阳区,Python研发工程师,本科,3-5,20k,30k,"数据服务,软件开发",开发|测试|运维类,后端开发,不打卡 氛围好 成长快,"['年底双薪', '午餐补助', '定期体检', '弹性工作']"
朗新科技股份有限公司,朗新科技,2000人以上,上市公司,无锡,新吴区,Python开发工程师(J11837),本科,1-3,10k,15k,"移动互联网,企业服务",开发|测试|运维类,后端开发,上市公司 福利待遇好,"['技能培训', '年底双薪', '带薪年假', '岗位晋升']"
风变科技（深圳）有限公司,风变科技（深圳）有限公司,500-2000人,B轮,深圳,南山区,课程设计师（python方向）,本科,1-3,10k,20k,"移动互联网,教育",教育|培训,培训,大牛多，职位发展前景好。,"['专项奖金', '带薪年假', '定期体检', '六险一金']"
一起长大（上海）信息科技有限公司,一起长大,15-50人,A轮,上海,浦东新区,Python服务端研发工程师,本科,1-3,12k,20k,教育,开发|测试|运维类,后端开发,扁平管理 结果导向 分享精神 前沿技术,"['股票期权', '带薪年假', '岗位晋升', '五险一金']"
风变科技（深圳）有限公司,风变科技（深圳）有限公司,500-2000人,B轮,深圳,南山区,python课程设计（实习）,本科,应届毕业生,4k,6k,"移动互联网,教育",教育|培训,培训,大牛多，职位发展前景好。,"['专项奖金', '带薪年假', '定期体检', '六险一金']"
广州酷狗计算机科技有限公司,酷狗音乐,500-2000人,上市公司,广州,天河区,PTBU-后端开发工程师（python),本科,3-5,20k,35k,文娱丨内容,开发|测试|运维类,后端开发,年终奖金、五险一金、三餐补贴、周末双休,"['技能培训', '节日礼物', '年底双薪', '带薪年假']"
同方知网（北京）技术有限公司,知网,2000人以上,上市公司,北京,海淀区,python研发工程师,本科,1-3,10k,15k,"移动互联网,电商",开发|测试|运维类,后端开发,六险二金 免费早午餐 年终奖金 宿舍班车,"['美女多多', '带薪年假', '绩效奖金', '岗位晋升']"
广州酷狗计算机科技有限公司,酷狗音乐,500-2000人,上市公司,广州,天河区,JR8965-PTBU-后端开发工程师（python),本科,3-5,15k,30k,文娱丨内容,公务员|其他,其他,发展空间大、年终奖、周末双休、免费咖啡,"['技能培训', '节日礼物', '年底双薪', '带薪年假']"
杭州老爸标准技术集团有限公司,老爸评测,150-500人,不需要融资,杭州,江干区,Python数据工程师,本科,1-3,8k,12k,"电商,文娱丨内容",开发|测试|运维类,后端开发,福利待遇好，六险一金，大流量平台,"['年底双薪', '绩效奖金', '带薪年假', '定期体检']"
北京颐顺太和软件科技有限公司,新东方,2000人以上,上市公司,北京,海淀区,python开发工程师(J13256),本科,1-3,15k,25k,教育,开发|测试|运维类,后端开发,大平台,[]
上海蜜度信息技术有限公司,新浪微舆情,500-2000人,C轮,上海,浦东新区,python高级爬虫工程师,本科,3-5,15k,20k,"企业服务,消费生活",开发|测试|运维类,后端开发,五险一金，补充医疗险、通讯交通补贴年终奖,"['通讯津贴', '交通补助', '年底双薪', '弹性工作']"
上海蜜度信息技术有限公司,新浪微舆情,500-2000人,C轮,上海,浦东新区,python爬虫工程师,大专,1-3,9k,15k,"企业服务,消费生活",开发|测试|运维类,后端开发,五险一金，补充医疗险、通讯交通补贴年终奖,"['通讯津贴', '交通补助', '年底双薪', '弹性工作']"
新浪网技术（中国）有限公司,新浪网,2000人以上,上市公司,北京,海淀区,Python/PHP/Go后端开发工程师,本科,应届毕业生,18k,36k,文娱丨内容,开发|测试|运维类,后端开发,免费健身房、免费班车、免费早餐,"['免费班车', '岗位晋升', '五险一金', '定期体检']"
圆通速递有限公司,圆通,2000人以上,上市公司,上海,青浦区,资深python开发工程师,本科,5-10,15k,25k,物流丨运输,开发|测试|运维类,后端开发,上市公司，前景好，晋升空间广阔，待遇好,"['技能培训', '免费班车', '专项奖金', '岗位晋升']"
北京美信时代科技有限公司,监控易,50-150人,天使轮,北京,海淀区,Python开发经理,本科,3-5,15k,25k,"移动互联网,企业服务",开发|测试|运维类,后端开发,弹性办公，项目奖金，人际简单，施展空间大,"['节日礼物', '年底双薪', '股票期权', '带薪年假']"
北京奥鹏远程教育中心有限公司,慕课网,50-150人,不需要融资,北京,海淀区,Python助教,本科,1-3,6k,12k,"移动互联网,教育",教育|培训,教师,"空间无限大,领导好,团队优秀,团队氛围好","['节日礼物', '技能培训', '节日礼品卡', '月度团建']"
圆通速递有限公司,圆通,2000人以上,上市公司,上海,青浦区,python运维开发工程师,本科,5-10,20k,35k,物流丨运输,开发|测试|运维类,后端开发,大牛团队，大平台,"['技能培训', '免费班车', '专项奖金', '岗位晋升']"
成都博彦软件技术有限公司,博彦科技,2000人以上,上市公司,深圳,南山区,python开发工程师(外派腾讯）,大专,1-3,11k,15k,"企业服务,软件开发",开发|测试|运维类,后端开发,加班费、免费班车、大公司、办公环境优越。,[]
